Product_Id,Product_Name,Category,Discounted_Price,Actual_Price,Discount_Percentage,Rating,Rating_Count,User_Name,Main_Division,Sub_Division,rating_score
B08YD264ZS,"Tarkan Portable Folding Laptop Desk for Bed, Lapdesk with Handle, Drawer, Cup & Mobile/Tablet Holder for Study, Eating, Work (Black)",Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,999.0,2499.0,60,4.3,1690.0,"Divya Sood,Athar,RINO,Purvesh,R Periyasamy,Amazon Customer,Deepti,A customer",Computers & Accessories,Lapdesks,Above Average
B00GZLB57U,"Quantum RJ45 Ethernet Patch Cable/LAN Router Cable with Heavy Duty Gold Plated Connectors Supports Hi-Speed Gigabit Upto 1000Mbps, Waterproof and Durable,1-Year Warranty-32.8 Feet (10 Meters)(White)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,238.0,699.0,66,4.4,8372.0,"Parenky Amaresha Adhikari,hiren panchal,Amol,Gs7,Anurag Dabas,Kumar Satyam,Nikhil Pramod,Buyer",Computers & Accessories,EthernetCables,Above Average
B07V82W5CN,"HP USB Wireless Spill Resistance Keyboard and Mouse Set with 10m Working Range 2.4G Wireless Technology / 3 Years Warranty (4SC12PA), Black","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",1349.0,2198.0,39,4.0,7113.0,"Pranjall Kumar,tapas sing,Kondapalli mukhesh,Madhu Raman,Praveen K Cherian,rahul ohal,Rajendra,SOHAN THAKUR",Computers & Accessories,Keyboard&MouseSets,Above Average
B08HD7JQHX,"HUMBLE Dynamic Lapel Collar Mic Voice Recording Filter Microphone for Singing Youtube SmartPhones, Black",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,199.0,499.0,60,3.3,2804.0,"Afrina Hasnat,BKBasu,Ayush Raghuvanshi,Wilfried Antonius,krishna,Kashish,kamal k.,Srikanth Subba Rao",Computers & Accessories,PCMicrophones,Average
B0B31FR4Y2,"Boult Audio Omega with 30dB ANC+ ENC, 32H Playtime, 45ms Latency Gaming Mode, Quad Mic Zen ENC, 3 Equalizer Modes, ANC, Type-C Fast Charging, IPX5 True Wireless in Ear Bluetooth Earbuds (Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1999.0,9999.0,80,3.7,1986.0,"Anand Kadu,Toney Abraham,Subhajit Kansa Banik,Akshesh,Tashi,Saurabh das,Ramanjaneyulu,Ashraf",Electronics,In-Ear,Average
B09Y14JLP3,"STRIFF UPH2W Multi Angle Tablet/Mobile Stand. Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable,Foldable Stand.Perfect for Bed,Office, Home,Gift and Desktop (White)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,99.0,499.0,80,4.1,2451.0,"Sean m.,Medha Garg,HARIHARAN M,DEEPAN CHAKRAVARTHI R,Amazon Customer,IQ,Tessy George,Aman Rizvi",Electronics,Stands,Above Average
B09ZHCJDP1,"Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",499.0,1000.0,50,5.0,23.0,"Rambeer kumar,Ramesh,Digambar Shelke,awadhesh Kumar,Agrim Shamra,mahima,harpreet singh,Rajat Semwal",Computers & Accessories,Mice,Excellent
B08C4Z69LN,Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A,Computers&Accessories|Components|Memory,1792.0,3500.0,49,4.5,26194.0,"Riz,Akshat Nehra,Kishan Patel,Saurav Jha,Nilesh Raj,Kasper Nabam,Vineet Kumar,Peeyoosh Kumar",Computers & Accessories,Memory,Above Average
B016XVRKZM,"APC Back-UPS BX600C-IN 600VA / 360W, 230V, UPS System, an Ideal Power Backup & Protection for Home Office, Desktop PC & Home Electronics",Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies,3299.0,4100.0,20,3.9,15783.0,"KNReddy,Shashank Reddy,sid,Bharat Justa,Keshav R.,Mohammad Aslam N,Cartik N,Anastasiya Glebova",Computers & Accessories,UninterruptedPowerSupplies,Average
B00LHZW3XY,"Luxor 5 Subject Single Ruled Notebook - A5 Size, 70 GSM, 300 Pages","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",125.0,180.0,31,4.4,8053.0,"Ankita,AR,A Rohini Kumar,Harsh Tiwari,Unknknown,Subrahmanya Sastry Bhetanabhotla,Junaid shah,VINAY", Office  Products ,CompositionNotebooks,Above Average
